,area,shapes,value
0,Algeria,"Poly((1.72485e+07, 1.25504e+07) ...)",24
1,Azerbaijan,"Poly((2.09124e+07, 1.2871e+07) ...)",10
2,Azerbaijan,"Poly((2.0902e+07, 1.299e+07) ...)",10
3,Azerbaijan,"Poly((2.08835e+07, 1.29961e+07) ...)",10
4,Azerbaijan,"Poly((2.09973e+07, 1.30833e+07) ...)",10
5,Azerbaijan,"Poly((2.09328e+07, 1.29512e+07) ...)",10
6,Albania,"Poly((1.86683e+07, 1.29946e+07) ...)",19
7,Armenia,"Poly((2.09375e+07, 1.29539e+07) ...)",17
8,Armenia,"Poly((2.08894e+07, 1.30132e+07) ...)",17
9,Armenia,"Poly((2.08804e+07, 1.29959e+07) ...)",17
10,Armenia,"Poly((2.08973e+07, 1.29922e+07) ...)",17
11,Angola,"Poly((1.80818e+07, 6.82548e+06) ...)",21
12,Angola,"Poly((1.83053e+07, 7.99068e+06) ...)",21
13,Angola,"Poly((1.82205e+07, 8.11739e+06) ...)",21
14,Argentina,"Poly((1.15755e+07, 2.79462e+06) ...)",22
15,Argentina,"Poly((1.1947e+07, 2.81077e+06) ...)",22
16,Argentina,"Poly((1.15191e+07, 2.98753e+06) ...)",22
17,Argentina,"Poly((1.15847e+07, 4.41617e+06) ...)",22
18,Argentina,"Poly((1.15698e+07, 4.43502e+06) ...)",22
19,Argentina,"Poly((1.09149e+07, 6.25333e+06) ...)",22
20,Australia,"Poly((2.95368e+07, 2.81278e+06) ...)",25
21,Australia,"Poly((2.95681e+07, 3.9899e+06) ...)",25
22,Australia,"Poly((2.95843e+07, 4.0048e+06) ...)",25
23,Australia,"Poly((2.96902e+07, 4.06568e+06) ...)",25
24,Australia,"Poly((2.9726e+07, 4.09722e+06) ...)",25
25,Australia,"Poly((2.95536e+07, 4.25725e+06) ...)",25
26,Australia,"Poly((2.95444e+07, 4.26766e+06) ...)",25
27,Australia,"Poly((2.98368e+07, 4.28115e+06) ...)",25
28,Australia,"Poly((2.95379e+07, 4.28089e+06) ...)",25
29,Australia,"Poly((2.9563e+07, 4.2954e+06) ...)",25
30,Australia,"Poly((2.98687e+07, 4.31052e+06) ...)",25
31,Australia,"Poly((2.98572e+07, 4.31672e+06) ...)",25
32,Australia,"Poly((2.95001e+07, 4.33227e+06) ...)",25
33,Australia,"Poly((2.98347e+07, 4.38865e+06) ...)",25
34,Australia,"Poly((2.98311e+07, 4.39049e+06) ...)",25
35,Australia,"Poly((2.98193e+07, 4.46702e+06) ...)",25
36,Australia,"Poly((2.97199e+07, 4.49963e+06) ...)",25
