Code,Population,GDP,Unemployment,Conflict,Fertility,FullName,neighbors
AFG,32564,667.8343505859375,35.0,748.5,5.97,Afghanistan,"['IRN', 'PAK', 'TKM', 'UZB', 'TJK', 'CHN']"
ALB,3029,4641.71533203125,17.3,0.0,1.53,Albania,"['MNE', 'GRC', 'MKD', 'UNK']"
DZA,39542,5484.0654296875,12.4,271.09999999999997,2.14,Algeria,"['TUN', 'LBY', 'NER', 'ESH', 'MRT', 'MLI', 'MAR']"
AGO,19625,6054.09423828125,32.03333333333333,478.4000000000001,1.23,Angola,"['COG', 'COD', 'ZMB', 'NAM']"
ARG,43431,12645.18359375,8.0,18.0,2.17,Argentina,"['BOL', 'BRA', 'CHL', 'PRY', 'URY']"
ARM,3056,3622.17431640625,18.1,208.20000000000002,1.74,Armenia,"['AZE', 'GEO', 'IRN', 'TUR']"
AUS,22751,62290.09375,5.8,22.8,1.95,Australia,['NZL']
AUT,8665,51296.44921875,6.1,4.0,1.35,Austria,"['CZE', 'DEU', 'HUN', 'ITA', 'LIE', 'SVK', 'SVN', 'CHE']"
AZE,9780,7808.43017578125,6.4,113.20000000000002,2.15,Azerbaijan,"['ARM', 'GEO', 'IRN', 'RUS', 'TUR']"
BGD,168957,1087.9072265625,4.9,74.8,2.16,Bangladesh,"['MMR', 'IND']"
BLR,9589,8014.30224609375,0.7,170.95,1.48,Belarus,"['LVA', 'LTU', 'POL', 'RUS', 'UKR']"
BEL,11323,47348.23828125,8.4,12.0,1.84,Belgium,"['FRA', 'DEU', 'LUX', 'NLD']"
BEN,10448,903.4562377929688,35.333333333333336,60.5,5.08,Benin,"['BFA', 'NER', 'NGA', 'TGO']"
BOL,10800,3124.080810546875,7.5,2.7,3.23,Bolivia,"['ARG', 'BRA', 'CHL', 'PRY', 'PER']"
BIH,3867,4843.65673828125,43.2,114.0,1.13,Bosnia and Herzegovina,"['HRV', 'MNE', 'SRB']"
BWA,2182,7123.3525390625,20.0,125.25,2.62,Botswana,"['NAM', 'ZAF', 'ZMB', 'ZWE']"
BRA,204259,11386.5830078125,12.6,84.11428571428573,1.8,Brazil,"['ARG', 'BOL', 'COL', 'GUF', 'GUY', 'PRY', 'PER', 'SUR', 'URY', 'VEN']"
BGR,7186,7876.04736328125,8.9,79.24,5.75,Bulgaria,"['GRC', 'MKD', 'ROU', 'SRB', 'TUR']"
BFA,18931,725.1907958984375,77.0,8.0,4.05,Burkina Faso,"['BEN', 'CIV', 'GHA', 'MLI', 'NER', 'TGO']"
BDI,10742,265.2189636230469,25.89537037037037,143.8,2.42,Burundi,"['COD', 'RWA', 'TZA']"
KHM,15708,1094.57666015625,0.3,198.89999999999998,4.29,Cambodia,"['LAO', 'THA', 'VNM']"
CMR,23739,1407.403564453125,30.0,33.3,1.69,Cameroon,"['CAF', 'TCD', 'COG', 'GNQ', 'GAB', 'NGA']"
CAN,35099,50168.51171875,7.1,162.70000000000002,2.28,Canada,['USA']
CAF,5391,382.5768737792969,8.0,49.60000000000001,5.74,Central African Republic,"['CMR', 'TCD', 'COD', 'COG', 'SSD', 'SDN']"
TCD,11631,941.388671875,19.4,257.0,1.51,Chad,"['CMR', 'CAF', 'LBY', 'NER', 'NGA', 'SSD']"
CHL,17508,14528.3251953125,7.0,2.7,1.83,Chile,"['ARG', 'BOL', 'PER']"
