"N","Country","Unemployment",
1,Cambodia,0.30,
2,Qatar,0.70,
3,Belarus,0.70,
4,Thailand,0.90,
5,Guernsey,0.90,
6,Tonga,1.10,
7,Laos,1.30,
8,Jersey,1.70,
9,Vanuatu,1.70,
10,Papua New Guinea,1.90,
11,Macau,1.90,
12,Isle of Man,2.00,
13,Monaco,2.00,
14,Singapore,2.10,
15,United Arab Emirates,2.40,
16,Cuba,2.50,
17,Tajikistan,2.50,
18,Bhutan,2.60,
19,Iceland,2.70,
20,Faroe Islands,2.90,
21,Guatemala,2.90,
22,Gibraltar,3.00,
23,Seychelles,3.00,
24,Kuwait,3.00,
25,Japan,3.20,
26,Malaysia,3.30,
27,Switzerland,3.40,
28,Liechtenstein,3.40,
29,Hong Kong,3.60,
30,Vietnam,3.70,
31,Honduras,3.90,
32,Taiwan,3.90,
33,Cayman Islands,4.00,
34,Andorra,4.00,
35,South Korea,4.00,
36,Trinidad and Tobago,4.00,
37,Falkland Islands,4.10,
38,Bahrain,4.10,
39,China,4.20,
40,Palau,4.20,
41,Denmark,4.20,
42,Germany,4.30,
43,Mexico,4.40,
44,Panama,4.50,
45,Saint Kitts and Nevis,4.50,
46,Sri Lanka,4.50,
47,Malta,4.60,
48,United States,4.70,
49,Myanmar,4.80,
50,Norway,4.80,
51,Uzbekistan,4.90,
52,Bangladesh,4.90,
53,Israel,5.00,
54,United Kingdom,5.10,
55,New Zealand,5.10,
56,Niger,5.10,
57,Ghana,5.20,
58,Ecuador,5.50,
59,El Salvador,5.50,
60,Czech Republic,5.60,
61,Kazakhstan,5.70,
62,Australia,5.80,
63,Peru,5.90,
64,Nicaragua,6.00,
65,Montserrat,6.00,
66,Austria,6.10,
67,Netherlands,6.20,
68,Paraguay,6.20,
69,Indonesia,6.30,
70,Moldova,6.30,
71,Azerbaijan,6.40,
72,Comoros,6.50,
73,Estonia,6.50,
74,Philippines,6.60,
75,Hungary,6.60,
76,Romania,6.70,
77,Pakistan,6.70,
78,Luxembourg,6.70,
79,Brunei,6.90,
80,Sweden,6.90,
81,Aruba,6.90,
82,Chile,7.00,
83,Canada,7.10,
84,Bolivia,7.50,
85,Uruguay,7.60,
86,Mauritius,7.80,
87,Argentina,8.00,
88,Ireland,8.00,
89,Kyrgyzstan,8.00,
90,Central African Republic,8.00,
91,Anguilla,8.00,
92,Lithuania,8.20,
93,Russia,8.20,
94,Mongolia,8.30,
95,Guam,8.40,
96,India,8.40,
97,Belgium,8.40,
98,Eritrea,8.60,
99,British Virgin Islands,8.70,
100,San Marino,8.70,
101,Fiji,8.80,
102,Bulgaria,8.90,
103,Suriname,8.90,
104,Bermuda,9.00,
105,Sierra Leone,9.10,
106,Finland,9.10,
107,Costa Rica,9.30,
108,Greenland,9.40,
109,Colombia,9.50,
111,Latvia,9.60,
112,Poland,9.60,
113,France,9.70,
114,Turkey,9.80,
115,Slovakia,9.80,
116,Morocco,9.90,
117,Saint Pierre and Miquelon,9.90,
118,Ukraine,10.00,
119,Turks and Caicos Islands,10.00,
120,Venezuela,10.50,
121,Iran,10.70,
122,Timor-Leste,11.00,
123,Turkmenistan,11.00,
124,Barbados,11.00,
125,Antigua and Barbuda,11.00,
126,Guyana,11.10,
127,Saudi Arabia,11.20,
128,Northern Mariana Islands,11.20,
129,Portugal,11.30,
130,Italy,11.40,
131,Maldives,11.60,
132,Slovenia,11.60,
133,Cyprus,11.80,
134,Niue,12.00,
135,Sint Maarten,12.00,
136,Cabo Verde,12.00,
137,Georgia,12.10,
138,Wallis and Futuna,12.20,
139,Algeria,12.40,
140,Brazil,12.60,
141,Belize,12.90,
142,Virgin Islands,13.00,
143,Curacao,13.00,
144,Cook Islands,13.10,
145,Egypt,13.10,
146,Sao Tome and Principe,13.50,
147,Sudan,13.60,
148,Puerto Rico,13.70,
149,Dominican Republic,13.80,
150,Jamaica,13.80,
151,Saint Helena Ascension and Tristan da Cunha,14.00,
152,Jordan,14.80,
153,Zambia,15.00,
154,The Bahamas,15.00,
155,Oman,15.00,
156,Tunisia,15.40,
157,Croatia,15.80,
158,Iraq,16.00,
159,Federated States of Micronesia,16.20,
160,Mozambique,17.00,
161,New Caledonia,17.10,
162,Albania,17.30,
163,Ethiopia,17.50,
164,Palestine,17.70,
165,Armenia,18.10,
166,Montenegro,18.50,
167,Saint Vincent and the Grenadines,18.80,
168,Serbia,18.90,
169,Spain,19.70,
170,Botswana,20.00,
171,Saint Lucia,20.00,
172,Gabon,21.00,
173,French Polynesia,21.80,
174,Equatorial Guinea,22.30,
175,Nauru,23.00,
176,Dominica,23.00,
177,Nigeria,23.90,
178,Greece,24.60,
179,Macedonia,24.90,
180,North Korea,25.60,
181,Gaza Strip,26.10,
182,South Africa,26.80,
183,Yemen,27.00,
184,Namibia,28.10,
185,Lesotho,28.10,
186,American Samoa,29.80,
187,Cameroon,30.00,
188,Libya,30.00,
189,Mali,30.00,
190,Kiribati,30.60,
191,Mauritania,31.00,
192,Grenada,33.50,
193,Afghanistan,35.00,
194,Kosovo,35.30,
195,Marshall Islands,36.00,
196,Kenya,40.00,
197,Swaziland,40.00,
198,Haiti,40.60,
199,Bosnia and Herzegovina,43.20,
200,Nepal,46.00,
201,Senegal,48.00,
202,Syria,50.00,
203,Congo,53.00,
204,Cocos Islands,60.00,
205,Djibouti,60.00,
206,Burkina Faso,77.00,
207,Liberia,85.00,
208,Zimbabwe,95.00
