ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,CumulativeIntensity,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
1-137,Afghanistan,Government of Afghanistan,,PDPA,1133,,2,,1978,2,1,3,1975-12-31,5,1978-04-27,1,0,,,700,,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,,Jam'iyyat-i Islami-yi Afghanistan,1134,,2,,1979,2,1,3,1975-12-31,5,1978-04-27,1,0,,,700,,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Harakat-i Inqilab-i Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Jabha-yi Nijat-i Milli-yi Afghanistan , Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1135, 1141, 1136, 1137, 1134, 1138",,2,,1980,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Harakat-i Inqilab-i Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Jabha-yi Nijat-i Milli-yi Afghanistan , Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1135, 1141, 1136, 1139, 1137, 1134, 1138",,2,,1981,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Harakat-i Inqilab-i Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Jabha-yi Nijat-i Milli-yi Afghanistan , Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1135, 1141, 1136, 1139, 1137, 1134, 1138",,2,,1982,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Harakat-i Inqilab-i Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Jabha-yi Nijat-i Milli-yi Afghanistan , Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1135, 1141, 1136, 1139, 1137, 1134, 1138",,2,,1983,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Harakat-i Inqilab-i Islami-yi Afghanistan , Harakat-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Jabha-yi Nijat-i Milli-yi Afghanistan , Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1135, 1140, 1141, 1136, 1139, 1137, 1134, 1138",,2,,1984,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Harakat-i Inqilab-i Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Jabha-yi Nijat-i Milli-yi Afghanistan , Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1135, 1141, 1136, 1139, 1137, 1134, 1138",,2,,1985,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Harakat-i Inqilab-i Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Jabha-yi Nijat-i Milli-yi Afghanistan , Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1135, 1141, 1136, 1139, 1137, 1134, 1138",,2,,1986,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Harakat-i Inqilab-i Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Jabha-yi Nijat-i Milli-yi Afghanistan , Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1135, 1141, 1136, 1139, 1137, 1134, 1138",,2,,1987,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Harakat-i Inqilab-i Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Jabha-yi Nijat-i Milli-yi Afghanistan , Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1135, 1141, 1136, 1139, 1137, 1134, 1138",,2,,1988,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,Government of Russia (Soviet Union),"Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Hizb-i Wahdat, Jam'iyyat-i Islami-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan ","1141, 1136, 1142, 1134, 1138",,2,,1989,2,1,4,1975-12-31,5,1978-04-27,1,0,,,700,365,,,700,3,4.0-2016
1-137,Afghanistan,Government of Afghanistan,,"Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Hizb-i Wahdat, Jam'iyyat-i Islami-yi Afghanistan, Military faction (forces of Shahnawaz Tanay)","1141, 1136, 1142, 1134, 1143",,2,,1990,2,1,3,1975-12-31,5,1978-04-27,1,0,,,700,,,,700,3,4.0-2016
