ISO3, Language1, Language2, Language3
AFG, Persian, Dari, Pashto
ALB, Albanian, , 
DZA, Arabic, French, 
ASM, Somoan, , 
AND, Catalan, French, Portuguese
AGO, Portuguese, Bantu, 
AIA, English, , 
ATG, English, , 
ARG, Spanish, , 
ARM, Armenian, , 
ABW, Papiamento, Spanish, English
AUS, English, , 
AUT, German, , 
AZE, Azerbaijani, , 
BHS, English, Creole, 
BHR, Arabic, English, Farsi
BGD, Bangla, English, 
BRB, English, Bajan, 
BLR, Belarusian, Russian, 
BEL, Dutch, French, 
BLZ, Spanish, Creole, Mayan
BEN, French, Fon, Yoruba
BMU, English, Portuguese, 
BTN, Scharchhopka, Dzongka, Lhotshamka
BOL, Spanish, Quechua, Aymara
BIH, Bosnian, Croatian, Serbian
BWA, Setswana, Kelanga, 
BRA, Portuguese, , 
VGB, English, , 
BRN, Malay, English, Chinese
BGR, Bulgarian, Turkish, 
BFA, French, Sudanic, 
BDI, Kirundi, French, 
KHM, Khmer, , 
CMR, English, French, 
CAN, English, French, 
CPV, Portugeuse, Crioulo, 
CYM, English, , 
CAF, French, Sangho, 
TCD, French, Arabic, Sara
CHL, Spanish, English, 
CHN, Mandarin, Cantonese, 
CXR, English, Chinese, Malay
CCK, Malay, English, 
COL, Spanish, , 
COM, Arabic, French, 
ZAR, French, Monokutuba, Kingwana
COG, French, Monokutuba, Lingala
COK, English, Maori, 
CRI, Spanish, English, 
CIV, French, Dioula, 
HRV, Croatian, , 
CUB, Spanish, , 
CYP, Greek, , 
CZE, Czech, , 
DNK, Danish, English, 
DJI, French, Arabic, Somali
DMA, English, French patois,
DOM, Spanish, , 
TMP, Tetun Prasa, Mambai, Makaasi
ECU, Spanish, , 
EGY, Arabic, English, French
SLV, Spanish, , 
GNQ, Spanish, French, 
ERI, Tigrinya, English, Arabic
EST, Estonian, Russian, 
ETH, Oromo, Amharic, 
FRO, Faroese, Danish,
FLK, English, Spanish, 
FJI, English, Fijian, Hindustani
FIN, Finnish, , 
FRA, French, , 
FRE, French, Polynesian, 
GAB, French, Fang, Myene
GMB, English, Mandinka, Wolof
GAZ, Arabic, Hebrew, English
GEO, Georgian, Russian, 
DEU, German, , 
GHA, Asante, Ewe, Fante
GIB, English, Spanish, Italian
GRC, Greek, , 
GRL, Greenlandic, Danish, English
GRD, English, French patois, 
GUM, Englsih, Fillipino, Chamorro
GTM, Spanish, ,  
HTI, French, Creole, 
VAT, Italian, Latin, French
HND, Spanish, , 
HKG, Cantonese, , 
HUN, Hungarian, English, German
ISL, Icelandic, English, German
