Country,Population
Aruba,101669
Afghanistan,28803167
Angola,23369131
Albania,2913021
Andorra,84449
United Arab Emirates,8270684
Argentina,41223889
Armenia,2877311
American Samoa,55637
Antigua and Barbuda,94661
Australia,22031750
Austria,8363404
Azerbaijan,9054332
Burundi,8766930
Belgium,10895586
Benin,9199259
Burkina Faso,15605217
Bangladesh,152149102
Bulgaria,7395599
Bahrain,1240862
The Bahamas,360832
Bosnia and Herzegovina,3722084
Belarus,9490583
Belize,321608
Bermuda,65124
Bolivia,9918242
Brazil,196796269
Barbados,279569
Brunei,388662
Bhutan,727641
Botswana,2014866
Central African Republic,4448525
Canada,34005274
Switzerland,7824909
Chile,16993354
China,1337705000
Cote d'Ivoire,20401331
Cameroon,19970495
Congo,64523263
Democratic Republic of the Congo,4386693
Colombia,45918097
Comoros,689692
Cabo Verde,502384
Costa Rica,4545280
Cuba,11333051
Curacao,148703
Cayman Islands,55507
Cyprus,1112607
Czech Republic,10474410
Germany,81776930
Djibouti,851146
Dominica,71440
Denmark,5547683
Dominican Republic,9897985
Algeria,36117637
Ecuador,14934690
Egypt,84107606
Eritrea,4390840
Spain,46576897
Estonia,1331475
Ethiopia,87702670
Finland,5363352
Fiji,859950
France,65027512
Faroe Isladns,48550
Federated States of microstesa,103616
Gabon,1640210
United Kingdom,62766365
Georgia,3926000
Ghana,24512104
Gibraltar,33189
Guinea,10794170
Gambia,1692149
Guinea-Bissau,1555880
Equatorial Guinea,951104
Greece,11121341
Grenada,104677
Greenland,56905
Guatemala,14630417
Guam,159444
Guyana,746556
Hong Kong,7024200
Honduras,8194778
Croatia,4417781
Haiti,9999617
Hungary,10000023
Indonesia,242524123
Isle of man,80072
India,1230980691
Ireland,4560155
Iran,74567511
Iraq,30762701
Iceland,318041
Israel,7623600
Italy,59277417
Jamaica,2817210
Jordan,7182390
Japan,128070000
Kazakhstan,16321581
Kenya,41350152
Kyrgyzstan,5447900
Cambodia,14308740
Kiribati,102652
Saint Kitts and Nevis,51445
South Korea,49554112
Kuwait,2998083
Laos,6246274
Lebanon,4337141
Liberia,3948125
Libya,6169140
Saint Lucia,172580
Liechtenstein,36003
Sri Lanka,20119000
Lesotho,2040551
Lithuania,3097282
Luxembourg,506953
Latvia,2097555
Macau,536969
Saint Martin,30235
Morocco,32409639
Monaco,37094
Moldova,3562045
Madagascar,21151640
Maldives,367000
Mexico,117318941
Marshall Islands,52425
Macedonia,2070739
Mali,15075085
Malta,414508
Myanmar,50155896
Montenegro,619428
Mongolia,2712650
Northern Mariana,54424
Mozambique,24221405
Mauritania,3609543
Mauritius,1250400
Malawi,15167095
Malaysia,28112289
Namibia,2173170
New Caledonia,250000
Niger,16425578
Nigeria,158578261
Nicaragua,5737723
Netherlands,16615394
Norway,4889252
Nepal,27023137
Nauru,10025
New Zealand,4350700
Oman,3041460
Pakistan,170560182
Panama,3643222
Peru,29373646
Philippines,93726624
Palau,20470
Papua New Guinea,7108239
Poland,38042794
Puerto Rico,3721525
North Korea,24591599
Portugal,10573100
Paraguay,6209877
Gaza Strip,3811102
French Polynesia,267820
Qatar,1779676
Romania,20246871
Russia,142849449
Rwanda,10246842
Saudi Arabia,27425676
Sudan,34385963
Senegal,12916229
Singapore,5076732
Solomon Islands,527790
Sierra Leone,6458720
El Salvador,6164626
San Marino,31110
Somalia,12053223
Serbia,7291436
South Sudan,10067192
Sao Tome and Principe,174776
Suriname,526103
Slovakia,5391428
Slovenia,2048583
Sweden,9378126
Swaziland,1202843
Saint Maarten,35474
Seychelles,89770
Syria,21018834
Turks and Caicos Islands,30994
Chad,11887202
Togo,6502952
Thailand,67208808
Tajikistan,7641630
Turkmenistan,5087210
Timor-Leste,1109591
Tonga,104137
Trinidad and Tobago,1328100
Tunisia,10639931
Turkey,72326914
Tuvalu,10531
Tanzania,46098591
Uganda,33915133
Ukraine,45870700
Uruguay,3374415
United States,309348193
Uzbekistan,28562400
Saint Vincent and the Grenadines,109315
Venezuela,29028033
British Virgin Islands,27224
Virgin Islands,106267
Vietnam,86932500
Vanuatu,236295
Samoa,186205
Kosovo,1775680
Yemen,23606779
South Africa,50979432.36
Zambia,13850033
Zimbabwe,14086317
