"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Net migration","SM.POP.NETM","","","-4323","","","","","-4275","","","","","-3537","","","","","-5470","","","","","-1921","","","","","-5194","","","","","14218","","","","","6926","","","","","6263","","","","","-441","","","","","1253","","","","",
"Afghanistan","AFG","Net migration","SM.POP.NETM","","","-20000","","","","","-20000","","","","","-20000","","","","","-1117459","","","","","-3418299","","","","","-1484185","","","","","2227474","","","","","-379474","","","","","804120","","","","","-677497","","","","","473007","","","","",
"Angola","AGO","Net migration","SM.POP.NETM","","","-135000","","","","","-201155","","","","","-80955","","","","","11455","","","","","234149","","","","","-150282","","","","","142811","","","","","-126701","","","","","172594","","","","","85286","","","","","102322","","","","",
"Albania","ALB","Net migration","SM.POP.NETM","","","-99","","","","","-99","","","","","-99","","","","","-99","","","","","-99","","","","","-99","","","","","-443212","","","","","-179606","","","","","-175406","","","","","-252926","","","","","-91750","","","","",
"Andorra","AND","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net migration","SM.POP.NETM","","","-485569","","","","","-849826","","","","","-876979","","","","","1697107","","","","","103693","","","","","-1021606","","","","","293332","","","","","-1432980","","","","","396646","","","","","4413525","","","","","-1168750","","","","",
"United Arab Emirates","ARE","Net migration","SM.POP.NETM","","","37882","","","","","53823","","","","","245222","","","","","391216","","","","","175581","","","","","260931","","","","","326830","","","","","484452","","","","","1180000","","","","","3493000","","","","","405000","","","","",
"Argentina","ARG","Net migration","SM.POP.NETM","","","122001","","","","","130001","","","","","290000","","","","","-230001","","","","","139999","","","","","160002","","","","","29999","","","","","-80000","","","","","-90000","","","","","-84998","","","","","30000","","","","",
"Armenia","ARM","Net migration","SM.POP.NETM","","","70335","","","","","103399","","","","","86404","","","","","35724","","","","","-22331","","","","","-58313","","","","","-496288","","","","","-223873","","","","","-143966","","","","","-136009","","","","","-9876","","","","",
"American Samoa","ASM","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net migration","SM.POP.NETM","","","-1703","","","","","-1625","","","","","-2874","","","","","-3492","","","","","-8840","","","","","-7629","","","","","2617","","","","","4421","","","","","-282","","","","","-92","","","","","-56","","","","",
"Australia","AUS","Net migration","SM.POP.NETM","","","382989","","","","","852782","","","","","264129","","","","","235744","","","","","456227","","","","","666233","","","","","351078","","","","","377552","","","","","575104","","","","","1132688","","","","","1023107","","","","",
"Austria","AUT","Net migration","SM.POP.NETM","","","15996","","","","","50401","","","","","82001","","","","","5502","","","","","18002","","","","","110999","","","","","227841","","","","","65082","","","","","178117","","","","","153763","","","","","147089","","","","",
"Azerbaijan","AZE","Net migration","SM.POP.NETM","","","66429","","","","","50466","","","","","14620","","","","","-28122","","","","","-40822","","","","","-118757","","","","","-105573","","","","","-119785","","","","","10655","","","","","-96798","","","","","-16125","","","","",
"Burundi","BDI","Net migration","SM.POP.NETM","","","-84989","","","","","-57900","","","","","-260594","","","","","-150288","","","","","-86002","","","","","-44320","","","","","-250000","","","","","-404999","","","","","112532","","","","","163733","","","","","40000","","","","",
"Belgium","BEL","Net migration","SM.POP.NETM","","","71911","","","","","86168","","","","","39275","","","","","70243","","","","","13460","","","","","44794","","","","","115391","","","","","67177","","","","","247560","","","","","267204","","","","","269998","","","","",
"Benin","BEN","Net migration","SM.POP.NETM","","","-24295","","","","","-23742","","","","","-24845","","","","","-19393","","","","","-10848","","","","","-8723","","","","","105000","","","","","-29287","","","","","98831","","","","","50000","","","","","-10000","","","","",
"Burkina Faso","BFA","Net migration","SM.POP.NETM","","","-144723","","","","","-144723","","","","","-170263","","","","","-217400","","","","","-217400","","","","","-183699","","","","","-150001","","","","","-137499","","","","","-125000","","","","","-125000","","","","","-125000","","","","",
"Bangladesh","BGD","Net migration","SM.POP.NETM","","","-142378","","","","","-161822","","","","","-3028254","","","","","-1101492","","","","","-837319","","","","","-219363","","","","","-853717","","","","","-756121","","","","","-1700003","","","","","-3570954","","","","","-2226481","","","","",
"Bulgaria","BGR","Net migration","SM.POP.NETM","","","-1437","","","","","-6423","","","","","-43396","","","","","-94868","","","","","-22346","","","","","-184143","","","","","-356464","","","","","-106602","","","","","-83002","","","","","-83002","","","","","-50000","","","","",
"Bahrain","BHR","Net migration","SM.POP.NETM","","","-4341","","","","","-7199","","","","","19123","","","","","48962","","","","","3195","","","","","12899","","","","","5480","","","","","43086","","","","","133500","","","","","316544","","","","","29915","","","","",
"Bahamas, The","BHS","Net migration","SM.POP.NETM","","","14357","","","","","14080","","","","","887","","","","","2791","","","","","180","","","","","-1099","","","","","-395","","","","","-3097","","","","","15483","","","","","14363","","","","","9672","","","","",
"Bosnia and Herzegovina","BIH","Net migration","SM.POP.NETM","","","-50002","","","","","-99999","","","","","-74999","","","","","-74999","","","","","-29999","","","","","-56374","","","","","-748374","","","","","-160020","","","","","34820","","","","","3677","","","","","-2506","","","","",
"Belarus","BLR","Net migration","SM.POP.NETM","","","-125387","","","","","57574","","","","","23022","","","","","10001","","","","","47114","","","","","-6309","","","","","-63057","","","","","56146","","","","","-6382","","","","","63933","","","","","120535","","","","",
"Belize","BLZ","Net migration","SM.POP.NETM","","","-2418","","","","","-2957","","","","","-10665","","","","","-13542","","","","","-5332","","","","","-5404","","","","","-9011","","","","","11909","","","","","5797","","","","","8722","","","","","7594","","","","",
"Bermuda","BMU","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Net migration","SM.POP.NETM","","","-34003","","","","","-37001","","","","","-42998","","","","","-60007","","","","","-87002","","","","","-106998","","","","","-90997","","","","","-83002","","","","","-89995","","","","","-84003","","","","","-61794","","","","",
